host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count
111814568,0,0.96,1,0,982
9950113,0,1,0.83,0,6
403528032,0,1,0.14,0,1
233874164,0,1,1,0,74
24563887,0,,,0,7
167134315,0,1,1,1,2
462106084,0,1,1,1,3
102102475,0,1,1,1,1
24303784,0,1,0.97,1,117
127761581,0,0.97,1,1,5
183724203,3,0.33,0,0,2
161638272,0,1,1,0,5
27345195,0,,0,0,4
128734546,0,1,1,1,1
417919018,0,1,0.99,1,3
252677824,2,0.8,0.59,1,1
445528454,0,1,1,0,1
189917141,0,,1,0,1
399546284,0,1,1,1,1
41556959,0,,,0,3
6378114,1,1,0.88,1,2
411901944,0,1,0.84,0,28
14563291,0,,,0,3
8398671,0,1,0.91,1,88
10734803,0,1,0.98,1,3
134267499,0,0.96,0.9,0,170
30362823,0,1,1,1,1
460859,2,1,,0,1
44633512,0,1,0.9,0,6
133480086,0,1,1,1,3
4398179,0,1,0.97,1,2
490394020,1,0.64,0.54,0,7
346712317,0,0.97,1,0,7
78991,0,1,1,0,5
295907053,1,1,,0,3
500377298,0,1,0.96,0,10
144214204,0,1,1,1,1007
2976886,0,1,0.91,1,25
184676726,0,1,1,0,29
401130632,0,1,1,1,676
430751743,0,0.99,0.99,0,91
171180364,0,0.99,0.99,0,106
838166,0,0.92,0.65,1,27
19544751,0,1,,0,3
377558714,0,0.94,0.99,0,875
241824223,0,1,1,0,7
6333737,1,1,1,1,3
485134033,0,,,0,56
55411,0,1,0.91,1,28
445687411,0,0.89,0.96,0,11
6674438,1,1,0.99,1,2
449090851,0,1,0.95,1,9
106980640,0,1,0.97,0,72
62585631,0,1,0.88,1,2
4151845,2,1,0.68,0,3
41273097,0,,,0,2
344827718,0,,,0,3
1896248,0,,0,0,2
1586060,2,0.5,0,0,2
101537031,1,0.91,0.82,0,245
72933825,0,1,0.96,0,77
8763731,0,1,0.92,1,21
2258900,0,,,0,2
34666172,0,,,0,8
302375556,0,,,0,6
270863624,0,,,0,1
343535252,0,,,0,1
97000730,0,,,0,3
144230228,0,,,0,6
473150466,0,1,1,0,1
24913108,0,1,0.5,0,3
13713794,0,1,1,0,5
232869567,0,1,0.9,1,4
17208895,2,0.5,0,0,2
266470657,0,1,0.96,1,16
484449751,0,1,1,0,61
483736708,0,1,1,1,5
3324376,0,1,0.99,0,213
209100861,0,1,0.98,1,4
489668629,0,1,1,0,72
470701360,0,1,0.88,0,2
25960406,2,0.67,0.97,0,1
35611926,0,1,0.98,1,5
59672473,0,,,0,1
49736657,2,1,0.46,1,1
47992825,0,1,0.93,1,37
485938713,0,1,0.94,1,2
209579359,0,1,0.96,0,5
30377947,0,1,1,1,8
90420736,0,1,1,1,7
126644161,0,1,0.99,0,1496
100428075,0,1,0.97,0,99
122437249,1,1,0.98,0,2
113529539,0,,,0,1
171538281,0,1,1,0,3
23458477,1,0.8,0.67,0,119
23265918,0,1,1,0,2
342075388,0,0.67,0.95,0,4
445693122,0,1,0.77,0,23
204817211,0,1,1,0,4
209764945,0,1,1,0,1
328975604,1,1,,0,2
466488035,0,1,0.95,0,58
382258577,0,,1,0,1
136486644,0,1,0.98,1,9
22259699,0,1,0.93,1,8
39645379,0,1,0.99,0,9
492403994,0,1,1,0,1
25138314,0,1,0.99,0,1745
115602999,0,0.93,1,0,10
484477694,0,1,1,0,57
51622091,0,1,0.85,0,2
67469870,0,0.92,0.99,0,13
266122732,0,1,1,0,310
14771480,0,1,0.95,0,1
375328299,0,0.96,1,0,4
500263620,0,1,1,0,11
155339545,0,1,0.96,0,36
15108882,0,,0.5,0,1
7763168,1,1,1,1,1
64849869,0,,0.25,0,6
266189822,0,1,0.79,1,2
71964594,2,0.7,0.94,0,3
289771514,0,,1,0,1
487872791,0,1,,0,56
120293132,1,0.9,1,0,3
455244002,0,1,,0,2
46323046,0,1,1,1,11
6323112,1,1,0.98,1,3
53647080,0,1,0.99,1,3
3097566,0,0.98,0.8,0,119
481809844,0,1,1,0,1
310599649,0,1,0.89,0,9
139552334,0,1,0.99,1,4
391050608,0,0.97,0.89,0,8
80687336,0,0.98,0.98,1,23
450467456,0,1,1,1,3
265213452,1,0.97,0.98,0,55
268798414,0,1,1,0,1
88311689,0,0.97,0.97,0,25
105890241,0,1,0.6,1,17
481582221,0,1,0.71,0,1
96220702,0,1,0.99,0,30
63450119,0,,0.97,1,2
107954360,0,0.97,0.97,1,8
247307853,0,1,0.97,0,10
484338505,0,1,1,0,59
382450066,0,1,1,1,4
484448552,0,,,0,1
422592129,0,1,1,0,2
23524402,0,1,1,1,17
157681023,0,1,1,1,4
303039123,0,,1,0,3
19237277,1,1,0.5,1,11
9075429,0,1,0.81,1,109
162741741,0,1,0.9,0,4
484275960,0,1,1,0,55
338909799,0,0.99,0.97,0,63
256558498,0,1,1,1,3
107352712,1,1,0.95,0,3
222265639,0,1,1,1,6
136839855,0,0.99,1,0,32
198748040,0,1,0.93,1,7
231837608,0,0.87,1,0,8
9881127,0,1,1,1,2
49630060,0,1,1,0,1
473207529,0,1,1,1,28
10033808,0,1,0.99,0,17
423194979,0,1,1,0,17
86696647,1,1,1,1,6
174792040,0,1,1,0,8316
497190665,0,1,1,0,2
107434423,0,1,0.97,0,5323
172788,0,,,0,2
132238147,0,1,0.97,1,11
399577067,0,1,0.99,1,5
86451018,0,1,1,1,4
299504856,0,,,0,4
23582461,1,1,1,0,6
34540785,0,1,0.99,0,24
208610860,0,1,1,0,295
5309820,0,1,0.9,0,24
30656727,0,0.98,0.99,1,7
17222976,1,1,0.93,1,1
40163894,0,1,0.61,1,37
48005494,0,1,0.97,0,1964
23737132,2,0.75,0.54,1,30
279242902,2,0.9,0.56,0,1
95721812,0,,1,0,1
215745677,1,1,0.85,1,2
27956555,2,1,,0,1
26023511,0,1,0.96,0,3
275841961,0,1,1,1,11
467318443,0,1,1,0,3
1181670,0,1,1,1,2
453835551,0,1,1,0,18
131131734,0,0.92,0.77,0,4
122697048,0,1,1,0,1
9861042,0,1,0.99,1,3
392918440,0,1,1,1,3
2252755,2,0.9,0.4,0,2
340736981,3,0,,0,1
60271552,0,0.84,0.89,0,15
263524662,0,1,0.74,0,107
390614063,0,0.9,0.95,1,10
49368121,0,,,0,2
250312632,0,1,0.99,0,220
19700155,0,1,0.97,0,17
148610158,0,,,0,3
9251270,0,1,1,1,28
100985891,0,0.98,0.92,0,35
445565347,0,1,0.96,1,3
120130047,2,1,0.75,0,1
45090865,0,,,0,1
2967624,0,1,0.98,1,3
193267489,0,,,0,5
468884755,0,,0.29,0,14
482084492,0,1,0.89,0,4
482526208,2,0.9,1,0,8
324859259,0,,1,1,3
48522023,2,1,1,0,3
47745035,0,1,0.99,1,1
22341861,2,0.5,0.4,0,13
47436753,0,1,1,1,6
146855219,0,,,0,9
471216188,0,,,0,1
23418243,0,1,0.83,0,1
466098884,0,1,1,0,3
434441244,0,,,0,1
37269898,0,0.99,0.99,0,35
93368350,0,1,1,1,1
490257705,0,1,1,0,5
475039718,0,1,1,0,2
2288402,0,,,0,9
462578692,0,1,0.97,1,4
271118401,0,0.99,1,0,183
245280,0,1,1,1,1
302622137,0,1,0.88,0,1
415904528,1,0.96,0.56,0,24
292681341,0,0.98,0.98,0,167
244932332,0,1,1,0,3
34332919,0,1,1,0,3
488888227,0,1,1,0,4
363717218,2,1,1,0,2
29713871,0,1,1,0,1
179580368,0,0.9,0.95,0,29
230709008,1,0.9,1,0,1
466035154,0,1,0.92,1,2
387023441,0,1,1,1,7
6097855,1,1,0.83,0,1
446995407,0,1,1,0,6
7782015,0,0.8,0.96,0,31
3939428,0,1,0.98,1,2
956269,3,0.33,1,0,2
71030757,0,1,0.98,0,106
8784734,2,1,0.27,0,2
323678301,0,,,0,3
1335578,0,1,0.99,1,5
66378168,0,1,1,0,1
442527965,1,0.69,0.86,0,12
462978556,0,1,0.96,0,1
8961713,0,1,0.97,1,3
2908692,0,,0,0,2
116424077,3,0,,0,3
232985860,0,,,0,1
447200594,1,1,0.86,0,4
232012515,3,0,0,0,1
5075884,0,,,0,1
4955218,0,0.98,0.99,0,124
57577753,0,1,0.99,1,3
450347575,3,0,,0,3
165486813,1,0.79,0.94,1,7
319415497,0,0.98,0.99,1,8
30173930,0,0.89,0.7,1,2
146910517,0,1,0.97,1,1
145396881,0,1,1,1,9
198255538,0,,0.47,0,45
9488470,0,1,1,0,15
256295280,0,1,1,1,3
7660373,0,1,0.83,0,23
434290762,0,1,1,1,2
275146019,3,0,0.83,0,2
481175966,0,1,0.99,1,3
488251920,0,1,0.94,0,1
215263603,1,0.98,0.4,0,18
430406674,0,,,0,6
8278915,1,1,1,1,3
65399028,1,1,,0,2
159883376,0,,,0,2
1190338,0,1,1,0,1
142533465,0,1,0.99,0,1
27621892,1,1,,0,3
122891774,0,,,0,2
198421122,0,1,1,1,5
24425474,0,1,0.94,0,2
121611923,0,1,0.89,0,4
111786798,0,,,0,1
23220761,0,,,0,1
21524802,2,1,,0,3
197569748,0,1,1,1,6
192930172,0,1,0.93,0,15
4045016,0,1,0.8,1,2
415323265,0,1,1,0,1
170289680,0,1,0.98,1,2
373564074,0,,,0,3
149497072,0,1,1,0,1
7858796,2,0.71,0.36,0,29
434462119,0,1,0.99,0,46
49959241,0,1,0.9,0,19
388111549,0,1,1,1,10
131978199,0,,,0,1
484405943,0,1,1,0,1
412770821,0,1,1,0,2
296002006,0,,,0,3
246802084,0,1,0.96,1,3
12006747,0,1,0.97,1,6
15835908,0,1,1,0,19
40919078,0,,,0,1
389786153,0,1,1,1,1
258275019,0,,,0,1
4656446,0,1,0.99,1,664
79201942,0,,,0,1
190703,2,0.67,0,0,5
123613777,0,,,0,5
185224377,0,0.83,0.98,0,42
23518965,3,0.44,0.33,0,4
2843111,0,1,0.92,0,11
10557541,1,1,0.57,1,3
107096657,2,1,1,0,2
8595758,0,1,1,1,56
439727627,0,1,0.74,0,7
213653729,0,1,1,0,7
24329193,0,1,0.93,1,1
213770004,0,1,1,1,4
50028006,0,1,0.86,0,2
13992754,0,1,0.98,0,159
475026270,0,1,1,0,12
462101556,2,1,1,0,4
71880300,0,1,1,1,10
480847964,1,1,1,0,1
110060370,0,1,0.65,0,3
5076940,0,1,0.79,1,1
56782802,0,1,,0,3
11881600,0,0.9,0.33,0,9
217639434,0,1,0.98,0,2
45475608,0,,0,0,8
231719877,1,1,0.89,0,6
427237847,2,1,0.89,0,1
100120148,0,1,0.97,0,9
204278676,1,0.78,1,0,1
104609849,2,0.5,0.43,0,1
31045945,0,1,0.76,1,1
438636812,0,0.9,0.98,0,9
348387143,0,1,1,1,3
123449596,0,,1,0,5
20809053,0,1,0.67,0,1
32002790,0,1,1,1,2
165332104,0,1,1,0,7
9112713,0,1,0.93,0,8
10832832,0,1,0.96,1,113
118829343,2,1,0.5,0,1
75604522,0,1,1,1,3
410676834,0,1,0.98,1,5
427604751,2,1,,0,1
327837294,0,,1,0,2
488812561,0,1,1,0,1
196649861,0,1,1,1,1
16358514,1,1,,0,6
35504008,0,0.9,0.97,0,9
51110301,0,1,1,1,8
39888546,0,0.86,1,1,2
431931550,1,1,0.9,0,1
72330346,0,1,1,1,7
256877913,2,1,0.88,1,1
149273358,0,1,0.98,1,2
53476092,0,1,0.66,0,2
345513764,1,0.8,0.67,0,1
11017407,1,0.9,0.7,0,2
497011808,0,1,0.83,0,3
419135237,0,0.95,0.98,0,4
25546692,1,1,0.86,1,1
349554044,0,,,0,6
5962546,1,0.91,0.35,1,2
270181766,0,1,1,1,5
49759874,0,,,0,1
13108795,0,1,0.88,0,9
11406161,0,1,0.88,1,24
426517122,0,,0.2,0,1
36097032,0,1,1,1,3
494532374,0,1,1,0,2
434085108,0,1,,0,1
102410688,1,0.97,0.9,0,3
106686016,0,,1,0,2
369665789,0,,1,0,2
293777066,0,1,1,1,6
20862311,3,0,0,0,19
414422864,0,1,0.99,0,1
36162439,0,,1,1,4
224912622,0,1,1,0,13
331263,0,1,1,1,7
21700,0,1,1,1,11
100322131,0,,,0,1
49462064,0,,,0,3
35974228,0,1,0.92,0,2
305794501,0,1,0.99,0,2
19934744,0,1,0.97,1,6
303485891,1,1,,0,1
432209551,0,1,1,0,9
492625148,1,0.8,1,0,2
486792438,2,1,1,0,1
483923270,0,1,0.94,1,5
50016597,0,,,0,3
136131308,0,1,0.9,1,2
479235306,2,0.5,0.33,0,3
3598971,0,1,1,0,11
418223160,0,1,1,0,9
475988403,0,1,1,0,4
322024284,0,1,0.91,1,8
98553583,1,1,1,0,16
97570287,1,1,0.96,0,4
295494535,0,1,1,0,6
344374837,0,0.9,0.98,0,21
474389456,0,0.98,1,0,53
185484120,0,1,0.89,1,1
489047778,0,1,1,0,2
239226595,0,0.95,0.87,0,65
206047413,0,1,0.93,1,2
55359508,0,,0,0,1
66943598,0,1,0.9,1,2
76404121,0,1,1,0,3
383508055,0,1,1,1,2
416380442,0,0.96,0.9,0,7
101579781,0,1,0.99,1,4
439109717,0,1,1,0,42
63302178,0,1,1,1,1
6599886,0,1,0.99,0,5
256944075,0,,0.91,0,13
167242968,0,1,0.98,1,5
311157064,0,1,1,0,26
14462277,2,0.79,0.97,0,9
4221343,1,1,0.79,0,1
297120531,1,1,1,0,5
120910470,0,1,1,0,1
334839598,0,,,0,1
365502524,0,0.77,1,0,17
8919409,0,0.95,0.99,0,24
1979505,0,1,0.97,1,2
477699279,2,1,1,0,1
191005056,0,,,0,1
1318259,0,1,0.96,1,10
114075905,0,1,0.91,0,4
61020631,0,1,1,0,7
41845688,0,1,0.97,1,7
5112516,0,1,1,0,16
432039705,0,1,1,1,5
94618664,0,1,1,0,1
7044596,0,1,0.88,1,5
59981427,3,0,1,0,5
238750616,0,,,0,3
50489935,0,,1,1,1
11351063,1,1,0.78,1,50
50737756,1,1,0.94,1,3
83621333,0,1,1,0,2
57049840,0,1,1,1,9
311480751,0,,,0,6
51077091,0,1,0.86,0,6
111308597,0,1,0.96,0,5
249923433,0,1,1,0,1
412974715,0,0.94,1,0,8
24820875,2,0.5,0,0,4
4222034,0,1,0.96,1,5
170985204,0,0.98,0.97,1,14
419064607,0,1,0.98,1,6
21851644,1,1,0.95,1,5
7142233,0,1,1,1,3
174004652,0,0.9,0.97,0,13
197747412,0,1,0.94,1,1
118274953,0,1,1,0,3
318986626,1,1,,0,6
37272197,0,,,0,1
458883998,0,1,,0,1
242422833,0,,0.6,0,9
361116009,0,1,1,1,6
418902860,2,0.6,0.82,1,2
295873809,0,1,0.99,1,2
7198843,0,,,0,1
101732029,0,1,1,1,5
369156075,0,1,0.98,0,2
94492934,0,1,1,1,3
187889673,0,1,1,0,1
33888167,1,1,0.63,1,8
7574629,0,1,0.97,1,7
14211572,0,1,,0,11
5685920,1,1,0.95,1,4
462280661,0,1,1,1,7
88208190,0,1,1,0,9
408003338,1,1,0.94,1,11
318919772,2,0.5,1,0,1
31738529,0,1,0.97,1,6
295487471,0,1,0.96,1,33
439904978,0,1,1,0,15
443004807,0,1,0.98,0,1
4018667,0,1,1,1,1
205034974,0,,,0,2
350851315,0,1,0.67,1,8
230802969,0,1,1,0,1
89420054,2,1,0.41,1,4
480496509,0,,,0,1
42434530,0,1,0.94,1,4
311215074,3,0.3,1,0,106
481187016,0,1,0.95,1,31
72009130,0,0.74,0.98,0,57
16395163,0,,0,0,1
143963076,0,1,0.62,1,3
21303728,1,1,0.97,1,4
98212310,1,1,0.75,0,3
253095628,0,,,0,3
368754588,3,0.2,1,0,4
335500640,0,0.96,0.94,0,4
230090742,2,1,0.5,0,6
7107058,0,1,0.9,0,22
8936617,0,1,0.56,1,4
1271958,0,1,0.97,0,11
481044956,0,1,1,0,3
24322082,1,0.9,0.75,0,4
412373044,0,1,1,1,4
475329461,1,1,0.8,0,4
118262470,0,0.99,0.97,0,22
11549973,0,1,1,0,3
58466505,1,1,,0,1
37591542,2,0.5,0,0,3
23069913,0,,,0,3
7975463,2,0.6,0.73,0,1
111814852,0,0.96,0.99,0,1357
391133635,2,1,,0,1
72761640,0,0.97,0.99,1,2
64165193,0,1,1,1,89
2760033,0,1,1,1,1
483874856,0,1,0.96,0,8
36544670,0,1,0.98,1,12
399763333,0,1,1,0,2
142030365,2,1,0.89,1,2
36011016,0,,,0,2
454924899,0,,1,1,1
8781968,0,1,0.92,1,4
53521611,2,0.87,0.39,0,2
305112261,0,1,1,0,12
55812267,1,0.86,1,1,1
3656225,0,,1,0,2
80642659,2,0.83,0.2,0,3
6849177,2,1,1,1,1
413197760,0,1,1,0,4
33665712,0,1,1,1,6
94973257,2,1,0.56,1,2
102552338,0,1,0.94,0,13
428553380,2,0.71,0,0,6
143387547,0,1,0.97,1,1
1497543,0,1,0.94,0,23
270832533,0,1,0.99,1,10
210321294,0,0.98,0.96,0,58
347271195,0,1,0.99,0,17
431636636,0,0.97,0.99,0,6
29136175,1,1,0.68,1,5
18935933,0,,,0,2
14853362,0,1,0.93,0,5
206538828,1,1,0.78,0,3
166434120,0,1,0.77,0,1
279254807,1,0.82,1,0,12
326779816,0,1,0.92,0,5
76201653,1,1,0.95,1,2
9450382,0,1,1,1,1
2065237,0,1,0.99,1,3
11347497,0,,,0,2
15789776,0,,,0,2
492935331,0,1,1,0,1
6882944,0,0.92,1,0,6
32799958,0,1,1,0,1
50945951,0,,0.5,0,1
116574467,0,1,1,0,6
143901370,0,,,0,2
28262500,0,1,1,0,5
4273340,0,,0,0,1
470997553,0,,1,0,1
430008572,0,1,0.6,1,3
490133820,0,1,1,0,1
128334217,0,,,0,2
240044961,0,1,1,1,3
29231132,0,,,0,1
88589032,0,0.99,0.97,1,25
462414907,0,1,1,0,4
72225544,0,1,0.88,0,6
496944100,0,1,0.99,0,2268
58280058,0,1,0.89,1,4
1155655,0,1,0.99,1,2
103352334,0,1,1,1,1
11075026,0,1,0.94,1,8
47788766,0,1,1,1,17
30080662,0,1,0.83,0,2
432808530,0,1,0.92,1,2
40712381,1,1,0.88,0,14
184732441,0,1,1,1,4
189842489,0,1,1,0,2
8200994,0,,0.5,0,1
425982623,0,1,0.76,0,4
3294402,0,1,0.96,0,11
325135786,0,1,0.56,1,28
40558731,0,1,0.91,1,4
38780353,0,,,0,2
31900445,0,,1,0,1
15697894,1,0.9,0.1,0,10
97496339,0,0.98,0.99,0,94
17376699,0,1,0.96,1,4
311516087,0,1,0.99,1,3
422914353,0,1,0.99,1,18
472309978,1,0.78,0.48,0,2
6645918,0,,0,0,1
413710148,0,0.98,1,1,4
10626427,0,1,1,1,8
43052234,0,1,0.21,0,5
23439172,1,1,1,1,1
470195365,0,0.99,0.99,1,23
4407407,1,0.88,0.78,1,11
36401148,1,0.83,1,0,6
51257061,0,,,0,3
9387719,3,0,0,0,4
473965528,0,1,1,0,2
24271342,0,1,1,0,3
172726248,1,1,0.98,1,15
73832826,0,,,0,4
483568154,0,1,1,0,1
8289317,0,1,1,1,12
89425574,0,1,1,1,1
52365888,0,1,1,1,1
15621080,0,0.94,0.95,0,16
101312187,0,1,0.99,1,2
2315535,3,0,0.43,0,1
12741062,2,1,,0,2
39386187,0,1,0,0,3
23118355,0,0.98,0.76,1,131
40054397,0,,,0,1
450643377,1,0.8,0.96,0,7
2088777,3,0,0.5,0,3
23742235,0,1,1,0,7
101769303,0,,,0,1
29186674,0,0.96,0.99,1,4
9543254,0,,,0,1
45082111,0,,,0,1
24768974,0,,0,0,11
6169252,1,1,1,0,1
1728477,2,0.9,0.4,1,7
372865577,0,,,0,2
43196899,0,1,0.25,1,6
50874982,0,1,0.83,0,2
26018277,1,1,0.93,0,3
470986265,1,0.94,1,0,19
474667917,0,1,1,0,1
78302625,0,1,0.88,0,2
23722312,0,1,0.97,0,94
403929298,0,,0.63,0,16
50488861,0,,0.99,0,19
5959138,0,1,0.98,0,28
51464651,0,1,0.94,0,3
129593839,1,1,0.67,0,14
110875530,3,0,,0,1
55789618,0,1,0.88,0,3
500497516,1,0.86,0.5,0,1
327041409,2,1,1,0,1
378333785,1,1,0.95,0,17
416779984,2,0.53,0.75,0,6
4066400,0,1,0.5,0,18
47987624,0,1,0.7,0,5
799408,1,1,1,1,3
481278437,0,0.98,0.89,0,20
49518584,0,1,1,1,6
109277585,0,1,1,1,2
21458609,0,0.96,0.99,1,92
69906522,0,1,1,0,12
17501824,3,0,,0,2
14488107,1,0.9,0.83,1,13
198439602,0,,,0,4
30325910,0,1,1,0,5
50473564,0,1,0.99,0,11
7010850,0,1,1,1,4
79238945,0,,,0,1
3967060,2,1,,0,4
140794654,0,1,0.97,1,3
2250885,1,1,,0,2
148797371,1,1,0.85,1,10
366917783,0,1,1,1,3
11615257,0,1,0.94,1,1
445228945,0,1,0.94,0,7
470504249,1,1,1,0,2
352369466,0,1,0.99,0,24
9266392,1,1,0.5,0,4
1305131,2,0.5,0.4,0,5
460564791,0,,,0,1
151713400,0,,,0,2
342325496,0,1,0.91,1,4
62012646,0,,,0,1
464146637,0,0.85,0.94,0,3
32628227,0,,0,0,1
123129386,1,1,0.47,1,9
675083,2,0.9,0.38,0,6
485126789,1,1,1,0,1
456848170,0,1,0.89,1,1
1271996,0,1,0.95,1,1
442009154,1,1,1,0,1
431972091,0,1,0.97,0,6
125367990,0,1,1,0,1
66210939,0,1,0.92,1,3
5847655,0,,,0,3
446996553,0,,0.86,1,1
271698446,0,,,0,1
82111577,1,1,,0,1
30012355,0,1,1,0,3
124925839,0,1,0.97,1,2
188059696,0,,,0,1
52952412,0,1,1,1,1
39865587,1,1,0.99,1,9
6378835,0,1,1,1,1
293519969,0,,,0,1
40883682,1,1,1,0,2
8015969,0,0.86,0.95,0,10
41102457,0,,,0,1
57161,1,1,0.91,0,39
312725096,0,1,1,0,1
24709144,0,1,0.77,0,8
7319183,0,1,1,0,16
19544020,0,,,0,1
150161677,0,,,0,2
20043329,0,,,1,15
4033754,0,1,1,1,10
232889379,2,0.5,0.4,1,3
402943048,0,1,1,0,10
236315135,0,,,0,2
8361961,1,1,1,1,1
263502162,1,0.88,0.99,0,4525
53966616,0,1,1,0,1
22689130,0,1,0.92,0,16
9560543,0,,,0,2
367097591,0,1,0.92,0,36
110856524,0,1,1,0,1
1808452,0,,,0,1
91434710,0,1,0.96,0,3
2881219,0,,,0,5
42245341,0,1,0.6,1,4
2102596,0,,,0,9
149479089,0,1,0.92,0,3
369731951,0,1,0.98,0,54
34647715,0,1,0.97,0,17
7578539,1,1,0.46,1,7
4539958,0,,,0,2
412746811,1,1,0.68,0,3
5799839,0,,,0,1
120948578,0,,0.79,0,6
2364057,0,,,0,2
135795018,0,,1,1,10
86397681,0,1,0.92,1,8
8259018,0,,,0,1
48368638,1,1,0.9,1,3
83959479,0,,,0,1
31365126,0,,1,1,5
248085802,0,1,1,1,1
24601747,0,,,0,1
38489554,0,,,0,1
393614453,0,,1,0,1
223942988,1,1,1,0,5
10183433,0,,,0,2
155319039,1,1,1,0,1
176122952,0,,,0,2
2866987,0,1,0.99,1,1
33236253,2,1,0,0,7
119021853,1,1,1,1,4
12035060,0,,,0,1
12575294,0,,,0,1
384463897,0,,,0,2
420588889,0,1,0.85,1,1
144837,0,,,0,1
17351920,0,,,0,1
233393156,0,1,1,1,1
14479322,0,,,0,4
329825821,1,1,1,0,3
30313958,0,,,0,2
13099048,0,,,0,3
196683898,0,1,0.96,1,1
31231073,0,,,0,2
166069115,0,1,0.89,0,73
224232595,0,1,1,0,1
467414627,1,1,1,0,1
34487336,0,,,0,1
1491751,0,,,0,4
180028801,0,1,1,1,2
32794637,1,1,0.89,0,3
2223335,0,1,0.5,0,2
12034800,0,,,0,1
132130173,0,,,0,1
168191572,0,1,0.94,0,1
6325688,0,,,0,1
10664544,0,0.67,0.92,0,2
10705415,0,1,1,1,1
224048291,0,1,1,1,3
39989564,2,1,0.33,0,2
39537270,0,,,0,1
7114846,0,,1,0,2
120279449,0,1,1,0,4
454942142,0,1,0,0,1
109901488,0,1,,0,1
46090356,0,,,0,3
45904653,0,,,0,3
94777694,0,1,0.99,1,1
501817287,1,1,,0,2
48442546,0,,,0,2
62196069,0,0.96,0.79,0,4
126292411,0,1,0.98,1,5
416748571,0,1,1,1,1
22209318,0,,,0,1
387057650,0,1,0.79,1,4
48339242,0,,,0,1
84511792,0,1,1,1,3
22921031,0,1,1,1,7
20708192,0,,,0,3
13381323,0,,,0,2
193981714,0,1,0.98,0,2
19599496,0,,,0,5
21673586,0,1,0.95,1,4
96467386,0,1,1,1,20
74913631,0,,,0,3
308043062,0,1,0.98,1,2
487593688,0,,,0,1
10194458,0,,,0,2
126824075,0,0.95,0.85,0,232
957811,1,1,0.92,1,1
48095400,1,1,0.96,0,3
76193908,0,,,0,1
2409135,0,,,0,1
293777424,0,1,1,1,3
62948190,0,1,1,1,2
76619665,0,,,0,2
35826553,0,,,0,1
102432672,0,,1,0,3
12586721,0,,,0,3
396367403,0,1,1,0,28
54261335,0,,,0,12
28483717,0,1,0.97,1,13
77928799,0,,,0,1
1310266,0,,,0,2
16641264,0,,1,1,4
66072975,0,,,0,1
9841394,0,,1,1,1
88811292,0,,,0,1
482579539,0,0.99,0.98,0,18
68687873,0,,,0,1
60400413,0,,,0,1
52315128,0,,,0,1
